Date,Make,Color,Amount.Due,Violation,Location,Meter,Officer.Comment
6/21/08,CHEV,RED,24.00,METER VIOLATION,WILLAMETTE 11TH AVE 13TH,70-49,NO TIME ON METER
6/21/08,FORD,GLD,24.00,METER VIOLATION,SOUTH PARK-0E,42-82,NO TIME ON METER
6/21/08,CHEV,RED,0.00,METER VIOLATION,SOUTH PARK-1E,43-96,NO TIME ON METER
6/21/08,TOYT,WHT,0.00,METER VIOLATION,SOUTH PARK-1E,43-95,NO TIME ON METER
6/21/08,TOYT,RED,0.00,RESTRICTED BY SIGN,15,NA,CITY PERMIT PARKING ONLYNO PERMIT VI
6/21/08,CHEV,BLU,30.00,RESTRICTED BY SIGN,3580 KINSROW,NA,ALSO PARKED FACING WRONG
6/21/08,GEO,BUR,0.00,RESTRICTED BY SIGN,KINSROW & COMMONS,NA,NA
6/21/08,HOND,BLK,30.00,RESTRICTED BY SIGN,LOT 07 - EUGENE AIRPORT,NA,UNATTENDED @ FRONT CURB
6/21/08,CHEV,BLU,0.00,METER VIOLATION,LINCOLN ST BROADWAY ST 1,7 22,NO TIME ON METER
6/21/08,FORD,BLU,0.00,METER VIOLATION,5TH AVE LAWRENCE ST LINC,2 32,NO TIME ON METER
6/21/08,CHEV,BLU,24.00,METER VIOLATION,WILLAMETTE 5TH AVE END,5 19,NO TIME ON METER
6/21/08,FORD,WHT,24.00,METER VIOLATION,HIGH ST 4TH AVE 6TH AVE,18 53,NO TIME ON METER
6/21/08,FORD,RED,0.00,METER VIOLATION,15TH AVE MOSS ST AGATE S,257-7,NO TIME ON METER
6/21/08,CHEV,RED,0.00,METER VIOLATION,15TH AVE AGATE ST MOSS S,245-40,NO TIME ON METER
6/21/08,CHEV,WHT,0.00,METER VIOLATION,BROADWAY ST HIGH ST PEAR,53-4,NO TIME ON METER
6/21/08,DODG,BLU,0.00,METER VIOLATION,OAK ST 8TH AVE BROADWAY,43-49,NO TIME ON METER
6/21/08,MERC,RED,0.00,RESTRICTED BY SIGN,15,NA,CITY PERMIT PARKING ONLYSIGN(s)POSTE
6/21/08,NISS,RED,0.00,METER VIOLATION,15,SPC. 60,NO TIME ON METERSPR
6/21/08,HYUN,BEI,0.00,METER VIOLATION,WILLAMETTE 6TH AVE 5TH A,14-20,NO TIME ON METER
6/21/08,HOND,GRY,0.00,EXCEEDING THE TIME LIM,WILLAMETTE 5TH AVE 6TH A,15-54,NO TIME ON METERVEH @ 30 MINUTE METE
6/21/08,NISS,WHT,0.00,METER VIOLATION,HIGH ST 6TH AVE 5TH AVE,17-27,NO TIME ON METER
6/21/08,FORD,WHT,24.00,EXCEEDING THE TIME LIM,HIGH ST 5TH AVE 6TH AVE,18-53,NO TIME ON METERVEH @ 1 HR METER
6/21/08,SUBA,WHT,24.00,EXCEEDING THE TIME LIM,8TH AVE OLIVE ST WILLAME,41-5,NO TIME ON METERVEH @ 1 HR METER
6/21/08,LEXS,BLU,0.00,METER VIOLATION,CHARNELTON ST BROADWAY S,39-24,NO TIME ON METER
6/21/08,TOYT,BEI,0.00,"SPACE MARKINGS,DIRECTI",BROADWAY ST HIGH ST PEAR,NA,VEH NOT IN SPACE MARKINGSMANEUVERING
6/21/08,ACUR,WHT,0.00,METER VIOLATION,SOUTH PARK-1E,43-62,NO TIME ON METER
6/21/08,MAZD,BLK,0.00,METER VIOLATION,SOUTH PARK-1E,43-97,NO TIME ON METER
6/21/08,SUBA,GRY,0.00,METER VIOLATION,15,SPC. 56,NO TIME ON METERSPR
6/21/08,CHEV,GLD,24.00,METER VIOLATION,13TH AVE KINCAID ST ALDE,226-10,NO TIME ON METER
6/21/08,AUDI,WHT,0.00,METER VIOLATION,KINCAID ST 13TH AVE END,227-63,NO TIME ON METER
6/21/08,HYUN,GRN,0.00,RESTRICTED BY SIGN,13TH AVE KINCAID ST ALDE,NA,COMMERCIAL MARKED VEHICLE ONLYNO COM
6/21/08,TOYT,RED,0.00,METER VIOLATION,11TH AVE OAK ST PEARL ST,71-1,NO TIME ON METER
6/21/08,TOYT,GRY,0.00,RESTRICTED BY SIGN,WILLAMETTE 11TH AVE 10TH,NA,NO TIME ON METER
6/21/08,SUBA,RED,0.00,METER VIOLATION,WILLAMETTE BROADWAY ST 8,41-16,NO TIME ON METERHC PERMIT NOT VALID
6/21/08,TOYT,BLK,0.00,METER VIOLATION,10TH AVE OAK ST WILLAMET,60-4,NO TIME ON METER
6/21/08,TOYT,GRY,24.00,METER VIOLATION,EAST PARK-8,43-84,NO TIME ON METER
6/21/08,DODG,BLU,0.00,EXCEEDING THE TIME LIM,OAK ST 8TH AVE BROADWAY,43-49,NO TIME ON METERVEH @ 2 HR METER
6/21/08,FORD,WHT,24.00,EXCEEDING THE TIME LIM,HIGH ST 5TH AVE 6TH AVE,18-53,NO TIME ON METERVEH @ 2HR METER
6/21/08,MERC,WHT,24.00,METER VIOLATION,5TH AVE HIGH ST PEARL ST,17-11,NO TIME ON METER
6/21/08,PONT,GRN,0.00,RESTRICTED BY SIGN,LOT 07 - EUGENE AIRPORT,NA,JNATTENDED VEHICLE @ FRONT CURB
6/22/08,NISS,SIL,0.00,RESTRICTED BY SIGN,LOT 07 - EUGENE AIRPORT,NA,UNATTENDED VEHICLE
6/22/08,BUIC,BEI,0.00,RESTRICTED BY SIGN,LOT 07 - EUGENE AIRPORT,NA,UNATTENDED VEHICLE
6/22/08,FORD,GRY,50.00,ON THROUGHWAY,DAY ISLAND & CLUB,NA,ABANDONED IN ROADWAY FOR
6/22/08,BMW,WHT,30.00,RESTRICTED BY SIGN,3400 COMMONS,NA,NO PARKING
6/22/08,MAZD,GRY,30.00,RESTRICTED BY SIGN,3500 KINSROW,NA,NO PARKING
6/22/08,CHEV,WHT,0.00,RESTRICTED BY SIGN,3500 KINSROW,NA,NO PARKING
6/22/08,VOLV,NA,0.00,RESTRICTED BY SIGN,LOT 07 - EUGENE AIRPORT,NA,UNATTENDED
6/22/08,DODG,ORG,0.00,RESTRICTED BY SIGN,LOT 07 - EUGENE AIRPORT,NA,UNATTENDED VEHICLE
6/22/08,DODG,ORG,0.00,RESTRICTED BY SIGN,LOT 07 - EUGENE AIRPORT,NA,ACTIVE LOADING/UNLOADING
6/22/08,NISS,RED,0.00,RESTRICTED BY SIGN,LOT 07 - AIRPORT TERMINAL,NA,UNATTENDED VEHICLE
6/22/08,KIA,BLK,380.00,HANDICAP,"BLDG ""L"" - 90 COMMONS DRIVE",NA,NO VISIBLE HANDICAP PLACARD
6/23/08,CHEV,BLU,24.00,METER VIOLATION,KINCAID ST 12TH TO 13TH,214-23,NTOM
6/23/08,NISS,GRY,0.00,RESTRICTED BY SIGN,MADISON - WEST 4TH ALLEY,NA,"PARKED IN  ""NO PARKING"" SIGNAGEE"
6/23/08,DODG,RED,0.00,STORAGE OF VEHICLE ON,2463LARIAT MEADOWS,NA,CHALK MARK STILL VISIBLECITIZEN COMP
6/23/08,CHEV,GRY,80.00,STORAGE ON STREET 2ND/,448W 12TH,NA,CHALK MARK STILL VISIBLECITIZEN COMP
6/23/08,FORD,WHT,0.00,RESTRICTED BY SIGN,13TH AVE KINCAID ST ALDE,NA,COMMERCIAL MARKED VEHICLE ONLYNO COM
6/23/08,FORD,RED,0.00,TIME LIMIT ZONE,19TH AVE ONYX ST UNIVERS,NA,NO PERMIT VISIBLECHALK MARK STILL VI
6/23/08,FORD,BLU,0.00,TIME LIMIT ZONE,FAIRMOUNT BLVD- 15TH AVE AND 1,NA,CHALM MARK STILL VISIBLE
6/23/08,HOND,BLK,0.00,TIME LIMIT ZONE,20TH AVE HILYARD ST ALDE,NA,NO PERMIT VISIBLECHALK MARK STILL VI
6/23/08,HOND,GRN,0.00,METER VIOLATION,13TH AVE KINCAID ST ALDE,226-10,NO TIME ON METER
6/23/08,MERC,WHT,0.00,STORAGE OF VEHICLE ON,2506POTTER ST,NA,CHALK MARK STILL VISIBLE ROLLEDCITIZ
6/23/08,BMW,BLU,50.00,STORAGE OF VEHICLE ON,4460MILL ST,NA,CHALK MARK STILL VISIBLECITIZEN COMP
6/23/08,JEEP,BLK,0.00,TIME LIMIT ZONE,UNIVERSITY ST 18TH AVE 1,NA,NO PERMIT VISIBLECHALK MARK STILL VI
6/23/08,NISS,WHT,0.00,TIME LIMIT ZONE,18TH AVE ONYX ST UNIVERS,NA,2HRCHALK MARK STILL VISIBLE
6/23/08,NISS,GRY,0.00,TIME LIMIT ZONE,19TH AVE ONYX ST EMERALD,NA,NO PERMIT VISIBLECHALK MARK STILL VI
6/23/08,NISS,WHT,0.00,RESTRICTED BY SIGN,EMERALD ST 3500,NA,CITIZEN COMPLAINTNO PARKING
6/23/08,NISS,GRY,0.00,TIME LIMIT ZONE,17TH AVE ALDER ST HILYAR,NA,CHALK MARK STILL VISIBLE1HR
6/23/08,PLYM,WHT,24.00,METER VIOLATION,KINCAID ST 13TH AVE END,227-68,NO TIME ON METER
6/23/08,CHEV,RED,0.00,METER VIOLATION,5TH - PEARL TO HIGH,17-9,NO TIME ON METER
6/23/08,SUBA,GLD,0.00,TIME LIMIT ZONE,UNIVERSITY ST - 19TH TO 18TH,NA,NO PERMIT VISIBLE
6/23/08,HOND,BLK,0.00,TIME LIMIT ZONE,ONYX ST 19TH AVE 20TH AV,NA,NO PERMIT VISIBLECHALK MARK STILL VI
6/23/08,FORD,RED,0.00,TIME LIMIT ZONE,KINCAID ST 20TH AVE 19TH,NA,NO PERMIT VISIBLECHALK MARK STILL VI
6/23/08,VOLK,GRN,0.00,METER VIOLATION,13TH AVE KINCAID ST ALDE,239-6,NO TIME ON METER
6/23/08,TOYT,BLU,0.00,WRONG SIDE PARKING,15TH AVE KINCAID ST ALDE,NA,MUST PARK WITH FLOW OF TRAFFIC
6/23/08,HOND,GRY,0.00,YELLOW ZONE,14TH AVE HILYARD ST ALDE,NA,ALL IN YELLOW
6/23/08,JEEP,WHT,0.00,RESTRICTED BY SIGN,15TH AVE ALDER ST KINCAI,NA,COMMERCIAL MARKED VEHICLE ONLYNO COM
6/23/08,FORD,WHT,0.00,TIME LIMIT ZONE,KINCAID ST 18TH AVE 19TH,NA,NO PERMIT VISIBLECHALK MARK STILL VI
6/23/08,CHRY,GRY,0.00,TIME LIMIT ZONE,KINCAID ST 18TH AVE 19TH,NA,NO PERMIT VISIBLECHALK MARK STILL VI
6/23/08,MAZD,RED,24.00,TIME LIMIT ZONE,POTTER ST 18TH AVE 19TH,NA,7-6CHALK MARK STILL VISIBLE
6/23/08,FORD,RED,0.00,TIME LIMIT ZONE,KINCAID ST 20TH AVE 19TH,NA,NO PERMIT VISIBLECHALK MARK STILL VI
6/23/08,ACUR,GRY,0.00,TIME LIMIT ZONE,20TH AVE HARRIS ST KINCA,NA,NO PERMIT VISIBLECHALK MARK STILL VI
6/23/08,NISS,WHT,24.00,TIME LIMIT ZONE,18TH AVE ONYX ST UNIVERS,NA,NO PERMIT VISIBLECHALK MARK STILL VI
6/23/08,JAGU,GRY,0.00,FRONT OF DRIVEWAY,UNIVERSITY ST 19TH AVE 2,NA,CITIZEN COMPLAINTBLOCKING
6/23/08,MAZD,RED,24.00,TIME LIMIT ZONE,POTTER ST 18TH AVE 19TH,NA,2HRCHALK MARK STILL VISIBLE
6/23/08,TOYT,WHT,0.00,TIME LIMIT ZONE,20TH AVE KINCAID ST HARR,NA,NO PERMIT VISIBLECHALK MARK STILL VI
6/23/08,TOYT,RED,0.00,TIME LIMIT ZONE,13TH AVE ALDER ST HILYAR,NA,CHALK MARK STILL VISIBLE
6/23/08,SUBA,GRY,0.00,TIME LIMIT ZONE,POTTER ST 18TH AVE 19TH,NA,7-6CHALK MARK STILL VISIBLE
6/23/08,DODG,BLU,0.00,METER VIOLATION,KINCAID ST 13TH AVE END,227-53,NO TIME ON METER
6/23/08,TOYT,GRY,0.00,METER VIOLATION,KINCAID ST 13TH AVE END,227-66,NO TIME ON METER
6/23/08,STRN,GRY,0.00,TIME LIMIT ZONE,17TH AVE ALDER ST HILYAR,NA,CHALK MARK STILL VISIBLE1HR
6/23/08,PORS,GRY,0.00,METER VIOLATION,ALDER ST 12TH AVE 11TH A,209 51,NO TIME ON METER
6/23/08,FORD,GRY,24.00,METER VIOLATION,ALDER ST 12TH AVE 11TH A,209 48,NO TIME ON METER
6/23/08,STRN,BLK,0.00,METER VIOLATION,ALDER ST 13TH AVE 12TH A,214 48,NO TIME ON METER
6/23/08,FORD,BLK,0.00,METER VIOLATION,KINCAID ST 12TH AVE 13TH,214 25,NO TIME ON METER
6/23/08,INFI,WHT,0.00,METER VIOLATION,ALDER ST 11TH AVE BROADW,205 24,NO TIME ON METER
6/23/08,GMC,WHT,0.00,METER VIOLATION,ALDER ST 12TH AVE 11TH A,209 49,NO TIME ON METER
6/23/08,OLDS,BLU,0.00,METER VIOLATION,KINCAID ST 12TH AVE 13TH,214 16,NO TIME ON METER
6/23/08,CHEV,GRN,0.00,METER VIOLATION,KINCAID ST 11TH AVE END,205 12,NO TIME ON METER
6/23/08,TOYT,GRY,24.00,METER VIOLATION,5TH AVE LAWRENCE ST LINC,13547,NO TIME ON METER
6/23/08,CHEV,BEI,24.00,TIME LIMIT ZONE,LAWRENCE ST BROADWAY ST,NA,CHALK MARK STILL VISIBLENO PERMIT VI
6/23/08,TOYT,BLU,0.00,TIME LIMIT ZONE,10TH AVE LINCOLN ST LAWR,NA,CHALK MARK STILL VISIBLE
6/23/08,CHEV,BLU,24.00,METER VIOLATION,5TH AVE LAWRENCE ST LINC,11355,NO TIME ON METER
6/23/08,VOLK,GRN,0.00,TIME LIMIT ZONE,LAWRENCE ST 10TH AVE BRO,NA,VEH MUST LEAVE BLKCHALK MARK STILL V
6/23/08,MG,BLU,24.00,METER VIOLATION,SOUTH PARK-1E,43-69,NO TIME ON METER
6/23/08,LINC,BEI,24.00,METER VIOLATION,8TH AVE CHARNELTON ST OL,40-4,NO TIME ON METER
6/23/08,VOLV,BEI,0.00,METER VIOLATION,8TH AVE LINCOLN ST CHARN,39-8,NO TIME ON METER
6/23/08,MAZD,BLK,0.00,METER VIOLATION,CHARNELTON ST 8TH AVE 7T,31-46,NO TIME ON METER
6/23/08,ACUR,GRY,0.00,TIME LIMIT ZONE,MILL ST 13TH AVE 12TH AV,NA,CHALK MARK STILL VISIBLENO PERMIT VI
6/23/08,SUBA,RED,0.00,TIME LIMIT ZONE,MILL ST 12TH AVE 13TH AV,NA,CHALK MARK STILL VISIBLENO PERMIT VI
6/23/08,MAZD,WHT,24.00,TIME LIMIT ZONE,MILL ST 12TH AVE 13TH AV,NA,CHALK MARK STILL VISIBLENO PERMIT VI
6/23/08,CHEV,GRY,0.00,TIME LIMIT ZONE,MILL ST 11TH AVE 12TH AV,NA,CHALK MARK STILL VISIBLENO PERMIT VI
6/23/08,4,GRY,0.00,TIME LIMIT ZONE,MILL ST 16TH AVE 17TH AV,NA,CHALK MARK STILL VISIBLENO PERMIT VI
6/23/08,NISS,GRN,0.00,METER VIOLATION,WILLAMETTE 11TH AVE 10TH,59-18,NO TIME ON METER
6/23/08,HOND,SIL,0.00,METER VIOLATION,WILLAMETTE 13TH AVE 11TH,79-20,NO TIME ON METER
6/23/08,HOND,SIL,0.00,METER VIOLATION,WILLAMETTE 13TH AVE 11TH,79-22,NO TIME ON METER
6/23/08,TOYT,BLU,0.00,TIME LIMIT ZONE,MILL ST 11TH AVE 12TH AV,NA,CHALK MARK STILL VISIBLENO PERMIT VI
6/23/08,CHEV,TAN,0.00,METER VIOLATION,BROADWAY ST OLIVE ST WIL,41-21,NO TIME ON METER
6/23/08,CHEV,BLU,0.00,FAILURE TO PAY FINES A,W/S LAWRENCE - 8TH TO BRDWY,NA,NA
6/23/08,CHEV,BLK,0.00,METER VIOLATION,12TH AVE KINCAID ST ALDE,214 4,NO TIME ON METER
6/23/08,VOLK,GRY,0.00,METER VIOLATION,12TH AVE ALDER ST KINCAI,209 42,NO TIME ON METER
6/23/08,HOND,BLU,0.00,METER VIOLATION,12TH AVE KINCAID ST ALDE,214 7,NO TIME ON METER
6/23/08,CHEV,RED,0.00,METER VIOLATION,KINCAID ST 12TH AVE 13TH,214 17,NO TIME ON METER
6/23/08,MAZD,BLU,0.00,METER VIOLATION,13TH AVE MOSS ST AGATE S,235 4,NO TIME ON METER
6/23/08,TOYT,GRY,0.00,TIME LIMIT ZONE,19TH AVE COLUMBIA ST MOS,NA,CHALK MARK STILL VISIBLE
6/23/08,CHEV,WHT,0.00,TIME LIMIT ZONE,VILLARD ST 17TH AVE 15TH,NA,CHALK MARK STILL VISIBLE
6/23/08,HYUN,RED,0.00,METER VIOLATION,S/S 5TH - WILLAMETTE TO OAK,15-5,NO TIME ON METER
6/23/08,HYUN,RED,0.00,LEVEL 2,S/S 5TH - WILLAMETTE TO OAK,NA,NA
6/23/08,SUBA,WHT,0.00,METER VIOLATION,PATTERSON ST 13TH AVE 12,212 52,NO TIME ON METER
6/23/08,TOYT,WHT,0.00,METER VIOLATION,ALDER ST 13TH AVE 12TH A,213 21,NO TIME ON METER
6/23/08,TOYT,BLU,12.00,METER VIOLATION,12TH AVE KINCAID ST ALDE,214 11,NO TIME ON METER
6/23/08,VOLV,MAR,0.00,METER VIOLATION,KINCAID ST 11TH AVE 12TH,209 25,NO TIME ON METER
6/23/08,FORD,RED,0.00,METER VIOLATION,KINCAID ST 11TH AVE 12TH,209 20,NO TIME ON METER
6/23/08,HOND,RED,0.00,METER VIOLATION,KINCAID ST 11TH AVE END,205 15,NO TIME ON METER
6/23/08,MITS,WHT,24.00,METER VIOLATION,13TH AVE MOSS ST AGATE S,234 3,NO TIME ON METER
6/23/08,CHEV,BLU,0.00,METER VIOLATION,13TH AVE MOSS ST AGATE S,234 10,NO TIME ON METER
6/23/08,CHEV,WHT,12.00,METER VIOLATION,13TH AVE AGATE ST MOSS S,222 54,NO TIME ON METER
6/23/08,FORD,MAR,0.00,METER VIOLATION,ALDER ST 11TH AVE BROADW,205 21,NO TIME ON METER
6/23/08,HOND,WHT,0.00,METER VIOLATION,KINCAID ST 12TH AVE 13TH,214 25,NO TIME ON METER
6/23/08,HOND,GRY,0.00,TIME LIMIT ZONE,COLUMBIA ST 17TH AVE 19T,NA,CHALK MARK STILL VISIBLE
6/23/08,CHEV,BLU,0.00,TIME LIMIT ZONE,17TH AVE COLUMBIA ST MOS,NA,CHALK MARK STILL VISIBLE
6/23/08,VOLK,YEL,0.00,TIME LIMIT ZONE,15TH AVE MOSS ST VILLARD,NA,CHALK MARK STILL VISIBLE
6/23/08,JEEP,RED,0.00,TIME LIMIT ZONE,VILLARD ST 15TH AVE FRAN,NA,CHALK MARK STILL VISIBLE
6/23/08,HOND,RED,0.00,TIME LIMIT ZONE,VILLARD ST 15TH AVE 17TH,NA,CHALK MARK STILL VISIBLE
6/23/08,HOND,GRY,0.00,METER VIOLATION,12TH AVE KINCAID ST ALDE,214 3,NO TIME ON METER
6/23/08,DODG,GRY,0.00,METER VIOLATION,KINCAID ST 11TH AVE 12TH,209 17,NO TIME ON METER
6/23/08,HOND,WHT,0.00,METER VIOLATION,12TH AVE ALDER ST KINCAI,209 36,NO TIME ON METER
6/23/08,JEEP,GRY,0.00,METER VIOLATION,KINCAID ST 11TH AVE END,205 12,NO TIME ON METER
6/23/08,CHEV,WHT,0.00,METER VIOLATION,13TH AVE END MOSS ST,235 11,NO TIME ON METER
6/23/08,CADI,WHT,0.00,METER VIOLATION,13TH AVE AGATE ST MOSS S,222 41,NO TIME ON METER
6/23/08,CHEV,GRN,0.00,RESTRICTED BY SIGN,WILLAMETTE 5TH AVE END,NA,COMMERCIAL MARKED VEHICLE ONLYNO COM
6/23/08,VOLK,BLK,0.00,RESTRICTED BY SIGN,CHARNELTON ST 5TH AVE 4T,NA,COMMERCIAL MARKED VEHICLE ONLYNO COM
6/23/08,HOND,BLK,0.00,METER VIOLATION,8TH AVE LINCOLN ST CHARN,30-33,NO TIME ON METER
6/23/08,DODG,WHT,0.00,EXCEEDING THE TIME LIM,5TH AVE OLIVE ST CHARNEL,13-5,NO TIME ON METER@ 2HR.
6/23/08,FORD,WHT,0.00,METER VIOLATION,8TH AVE WEST PARK-8 OAK,42-10,NO TIME ON METER
6/23/08,FORD,BLU,0.00,METER VIOLATION,WEST PARK-8,42-87,NO TIME ON METER
6/23/08,HOND,BLK,0.00,METER VIOLATION,BROADWAY ST LINCOLN ST C,39-31,NO TIME ON METER
6/23/08,FORD,GRY,0.00,TIME LIMIT ZONE,FERRY ST 17TH AVE 18TH A,NA,CHALK MARK STILL VISIBLEB PERMIT ONL
6/23/08,BUIC,WHT,0.00,TIME LIMIT ZONE,FERRY ST 12TH AVE 11TH A,NA,CHALK MARK STILL VISIBLENO PERMIT VI
6/23/08,VOLK,GRN,0.00,TIME LIMIT ZONE,12TH AVE FERRY ST MILL S,NA,CHALK MARK STILL VISIBLENO PERMIT VI
6/23/08,TOYT,GRN,0.00,TIME LIMIT ZONE,14TH AVE MILL ST HIGH ST,NA,CHALK MARK STILL VISIBLENO PERMIT VI
6/23/08,TOYT,GRY,24.00,TIME LIMIT ZONE,MILL ST 16TH AVE 15TH AV,NA,CHALK MARK STILL VISIBLENO PERMIT VI
6/23/08,CADI,BEI,24.00,TIME LIMIT ZONE,FERRY ST 18TH AVE 17TH A,NA,CHALK MARK STILL VISIBLENO PERMIT VI
6/23/08,CHEV,WHT,0.00,TIME LIMIT ZONE,12TH AVE HIGH ST PEARL S,NA,CHALK MARK STILL VISIBLE
6/23/08,PONT,GRN,0.00,METER VIOLATION,WILLAMETTE 11TH AVE 13TH,80-55,NO TIME ON METER
6/23/08,MAZD,BLK,0.00,METER VIOLATION,WILLAMETTE 11TH AVE 13TH,80-57,NO TIME ON METER
6/23/08,SUBA,GRN,0.00,TIME LIMIT ZONE,FERRY ST 13TH AVE 14TH A,NA,CHALK MARK STILL VISIBLENO PERMIT VI
6/23/08,TOYT,GRY,12.00,TIME LIMIT ZONE,FERRY ST 11TH AVE 12TH A,NA,CHALK MARK STILL VISIBLENO PERMIT VI
6/23/08,TOYT,WHT,0.00,METER VIOLATION,13TH AVE MOSS ST AGATE S,234 2,NO TIME ON METER
6/23/08,SCIN,GRN,0.00,METER VIOLATION,13TH AVE MOSS ST AGATE S,234 13,NO TIME ON METER
6/23/08,TOYT,MAR,0.00,METER VIOLATION,13TH AVE AGATE ST MOSS S,222 55,NO TIME ON METER
6/23/08,HOND,GRY,0.00,TIME LIMIT ZONE,17TH AVE COLUMBIA ST MOS,NA,CHALK MARK STILL VISIBLE
6/23/08,MAZD,GRY,0.00,TIME LIMIT ZONE,ORCHARD ST 15TH AVE 17TH,NA,CHALK MARK STILL VISIBLE
6/23/08,DODG,YEL,0.00,METER VIOLATION,13TH AVE AGATE ST MOSS S,222 50,NO TIME ON METER
6/23/08,TOYT,GRY,0.00,METER VIOLATION,13TH AVE AGATE ST MOSS S,222 52,NO TIME ON METER
6/23/08,FORD,GRN,0.00,METER VIOLATION,CHARNELTON ST 5TH AVE 6T,13-53,NO TIME ON METER
6/23/08,DODG,WHT,0.00,METER VIOLATION,5TH AVE OLIVE ST CHARNEL,13-5,NO TIME ON METER
6/23/08,TOYT,RED,0.00,METER VIOLATION,5TH AVE OAK ST WILLAMETT,15-3,NO TIME ON METER
6/23/08,MAZD,WHT,0.00,METER VIOLATION,5TH AVE HIGH ST PEARL ST,17-5,NO TIME ON METER
6/23/08,NISS,RED,24.00,METER VIOLATION,HIGH ST 6TH AVE 5TH AVE,17-19,NO TIME ON METER
6/23/08,PLYM,BLU,24.00,METER VIOLATION,8TH AVE OAK ST PEARL ST,34-34,NO TIME ON METER
6/23/08,FORD,BLU,24.00,TIME LIMIT ZONE,FERRY ST 15TH AVE 16TH A,NA,CHALK MARK STILL VISIBLENO PERMIT VI
6/23/08,VOLV,GRN,0.00,TIME LIMIT ZONE,FERRY ST 14TH AVE 15TH A,NA,CHALK MARK STILL VISIBLENO PERMIT VI
6/23/08,BUIC,MAR,0.00,TIME LIMIT ZONE,FERRY ST 13TH AVE 14TH A,NA,CHALK MARK STILL VISIBLENO PERMIT VI
6/23/08,CHEV,WHT,0.00,TIME LIMIT ZONE,FERRY ST 12TH AVE 13TH A,NA,CHALK MARK STILL VISIBLENO PERMIT VI
6/23/08,MERC,SIL,24.00,TIME LIMIT ZONE,16TH AVE OAK ST PEARL ST,NA,CHALK MARK STILL VISIBLE
6/23/08,VOLK,SIL,24.00,TIME LIMIT ZONE,MILL ST 18TH AVE 17TH AV,NA,CHALK MARK STILL VISIBLENO PERMIT VI
6/23/08,SAAB,BLK,0.00,TIME LIMIT ZONE,16TH AVE HIGH ST MILL ST,NA,CHALK MARK STILL VISIBLENO PERMIT VI
6/23/08,HOND,GRY,24.00,TIME LIMIT ZONE,16TH AVE MILL ST HIGH ST,NA,CHALK MARK STILL VISIBLENO PERMIT VI
6/23/08,MAZD,WHT,0.00,METER VIOLATION,WILLAMETTE 11TH AVE 13TH,70-51,NO TIME ON METER
6/23/08,MAZD,SIL,24.00,METER VIOLATION,WILLAMETTE 11TH AVE 13TH,70-52,NO TIME ON METER
6/23/08,CHEV,RED,0.00,METER VIOLATION,BROADWAY ST OAK ST WILLA,51-36,NO TIME ON METER
6/23/08,SUBA,WHT,0.00,TIME LIMIT ZONE,FERRY ST 14TH AVE 15TH A,NA,CHALK MARK STILL VISIBLENO PERMIT VI
6/23/08,BMW,BLK,0.00,METER VIOLATION,S/S 5TH - PEARL TO HIGH,17-10,NO TIME ON METER
6/23/08,TOYT,RED,0.00,RESTRICTED BY SIGN,LOT 07 - EUGEHNE AIRPORT,NA,UNATTENDED VEHICLE
6/23/08,NISS,GRY,0.00,RESTRICTED BY SIGN,MADISON - WEST 4TH ALLEY,NA,"PARKED IN ""NO PARKING"" SPACE"
6/23/08,SUBA,GLD,0.00,TIME LIMIT ZONE,UNIVERSITY ST - 19TH TO 18TH,NA,NO PERMIT VISIBLE
6/23/08,VOLV,GRY,0.00,STORAGE OF VEHICLE ON,1270ACORN PARK,NA,CHALK MARK STILL VISIBLECITIZEN COMP
6/23/08,STRN,GRY,0.00,TIME LIMIT ZONE,ONYX ST 21ST AVE 20TH AV,NA,NO PERMIT VISIBLECHALK MARK STILL VI
6/23/08,TOYT,WHT,0.00,TIME LIMIT ZONE,POTTER ST 19TH AVE 20TH,NA,NO PERMIT VISIBLECHALK MARK STILL VI
6/23/08,HOND,RED,0.00,RESTRICTED BY SIGN,15TH AVE KINCAID ST ALDE,NA,COMMERCIAL MARKED VEHICLE ONLYNO COM
6/23/08,VOLV,GRY,0.00,WRONG SIDE PARKING,15TH AVE ALDER ST HILYAR,NA,MUST PARK WITH FLOW OF TRAFFIC
6/23/08,SUBA,BLU,0.00,TIME LIMIT ZONE,KINCAID ST 19TH AVE 20TH,NA,NO PERMIT VISIBLECHALK MARK STILL VI
6/23/08,TOYT,WHT,0.00,TIME LIMIT ZONE,UNIVERSITY ST 18TH AVE 1,NA,NO PERMIT VISIBLECHALK MARK STILL VI
6/23/08,SUZU,GRN,0.00,METER VIOLATION,13TH AVE ALDER ST HILYAR,225-7,NO TIME ON METER
6/23/08,CHRY,GRY,0.00,TIME LIMIT ZONE,KINCAID ST 18TH AVE 19TH,NA,CHALK MARK STILL VISIBLENO PERMIT VI
6/23/08,OLDS,RED,0.00,METER VIOLATION,KINCAID ST 14TH AVE 13TH,226-20,NO TIME ON METER
6/23/08,TOYT,RED,0.00,TIME LIMIT ZONE,13TH AVE ALDER ST HILYAR,NA,CHALK MARK STILL VISIBLE
6/23/08,STRN,GRN,0.00,HANDICAP,FRED MEYER - 60 DIVISION AVE,NA,NO VISIBLE PERMIT
